Category,Academic_Technical_Term
"Culture, Globalization & Media Theory",Cultural Globalization
"Culture, Globalization & Media Theory",Cultural Hybridization
"Culture, Globalization & Media Theory",Cultural Imperialism
"Culture, Globalization & Media Theory",Cultural Homogenization
"Culture, Globalization & Media Theory",Glocalization
"Culture, Globalization & Media Theory",Cultural Diffusion
"Culture, Globalization & Media Theory",Technological Determinism
"Culture, Globalization & Media Theory",Cultural Identity Crisis
"Culture, Globalization & Media Theory",Geographical Determinism
"Culture, Globalization & Media Theory",Environmental Possibilism
"Culture, Globalization & Media Theory",Cultural Landscape (Carl Sauer)
"Culture, Globalization & Media Theory",Syncretism
"Culture, Globalization & Media Theory",Folk Culture vs Popular Culture
"Culture, Globalization & Media Theory",Oral Tradition
"Culture, Globalization & Media Theory",Cultural Identity
"Culture, Globalization & Media Theory",Unity in Diversity
"Culture, Globalization & Media Theory",Cultural Appropriation
"Culture, Globalization & Media Theory",Intangible Cultural Heritage (UNESCO)
"Culture, Globalization & Media Theory",Cultural Capital (Bourdieu)
"Culture, Globalization & Media Theory",Creative Economy
"Culture, Globalization & Media Theory",Geographical Indication (GI)
"Culture, Globalization & Media Theory",Cultural Sustainability
"Culture, Globalization & Media Theory",Cultural Diplomacy
"Culture, Globalization & Media Theory","Liberal Theory of the Press (Milton, Areopagitica 1644)"
"Culture, Globalization & Media Theory",Watchdog Journalism
"Culture, Globalization & Media Theory","Social Responsibility Theory (Hutchins Commission, 1947)"
"Culture, Globalization & Media Theory","Public Sphere Theory (Habermas, 1989)"
"Culture, Globalization & Media Theory","Propaganda Model (Chomsky & Herman, 1988)"
"Culture, Globalization & Media Theory",Manufacturing Consent
"Culture, Globalization & Media Theory",Hate Speech
"Culture, Globalization & Media Theory",Misinformation
"Culture, Globalization & Media Theory",Disinformation
"Culture, Globalization & Media Theory",Deepfake
"Culture, Globalization & Media Theory",Fact-Checking
"Culture, Globalization & Media Theory",Botnet
Development & Economic Theories,Export-Led Growth Theory
Development & Economic Theories,Multiplier Effect (Keynesian Economics)
Development & Economic Theories,Inclusive Growth Model
